Episode,Total Reward,Timestamp
1,17,2025-09-24T13:28:21
2,11,2025-09-24T13:28:37
3,15,2025-09-24T13:28:51
4,16,2025-09-24T13:29:04
5,17,2025-09-24T13:29:19
