Episode,Total Reward,Timestamp
1,4,2025-09-24T13:18:08
2,9,2025-09-24T13:18:08
3,3,2025-09-24T13:18:08
1,7,2025-09-24T13:38:37
2,3,2025-09-24T13:38:37
3,4,2025-09-24T13:38:37
1,-1,2025-09-24T13:52:45
2,3,2025-09-24T13:52:45
3,9,2025-09-24T13:52:46
